TestId,Date,Time,Athlete Code,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
PFjNQA8ZCWkoDqNlTNoG,10/4/2023,18:32:23,VB002,Countermovement Jump,,,607.176,0.2513,137.4202,-0.3112,4421.6867,-4306.4217,1340,220.6938,1020.8554,168.1317,1341,220.8585,1067.22,175.7678,1340,220.6938,0.396,45.9397,0.166,19.2575,0.3,34.8028,0.463,0.862,68.3018,138.6687,489.9145,206.9705,2.0302,-0.7493,-1.1143,1.3376,2.2203,2.3522,-686.4289,-11.0905,-904.459,-14.6131,1322.845,21.3729,41.2746,2554.6335,-3.0574,650,691,-1.4458,503.0482,517.8072,-3.1343,649,691,-3.3114,515.94,551.28,-4.9046,2102.4096,2319.2771,-2.8357,-6.4092,1010,-4630.5208,2044,748.4356,336.6404,-0.5871,1016,1028,5.254,393.8792,354.5564,9.9862,0.5371,0.2915,169.093,2.732,1.1035,320.8215,5.1834,2.2404
tcMV3HP0hEveWrhbjJuf,10/4/2023,18:32:15,VB002,Countermovement Jump,,,608.046,0.2408,134.7199,-0.2892,3745.7627,-4401.3716,1273,209.3592,963.6045,158.4756,1273,209.3592,1084.1908,178.3074,1272,209.1947,0.401,46.5738,0.177,20.5575,0.283,32.8688,0.467,0.861,62.6004,135.372,477.6735,197.9723,2.1625,-0.6923,-1.0111,1.3109,2.1735,2.3175,-599.9222,-9.6789,-775.1982,-12.5068,1316.6724,21.2427,41.1386,2549.8656,-1.0212,630,643,-1.5162,474.4972,489.1073,-1.4151,627,645,-3.1431,525.0565,559.1343,-5.279,1774.0113,1971.7514,-2.9729,-6.0895,850,-4898.2608,2238,781.8271,368.0643,-10.6345,1000,1238,-2.7424,380.1929,401.6341,-5.3421,0.5424,0.2797,170.2245,2.7463,1.01,307.449,4.9603,2.184
LkoLHOOSfikPRX0N2lMu,10/2/2023,18:33:10,VB002,Countermovement Jump,,,610.513,0.253,138.661,-0.3371,3121.9512,-3710.9032,1251,204.9096,938.2244,153.678,1252,205.0734,1045.1317,171.1891,1251,204.9096,0.396,43.0435,0.205,22.2826,0.319,34.6739,0.468,0.92,66.8598,139.2539,526.0225,206.1137,2.0828,-0.7404,-1.0745,1.2978,2.2281,2.3379,-627.2506,-10.0789,-810.6565,-13.026,1278.6487,20.5459,40.3545,2511.4093,-1.9169,614,638,-4.1573,449.6098,488.6146,-1.6787,615,636,0.0645,522.9028,522.2288,6.25,1658.5366,1463.4146,-8.0157,0.1134,N/A,-5809.2862,2205,795.5711,361.1717,2.8571,1134,1071,1.7413,404.712,390.8591,N/A,0.5087,0.275,192.015,3.0854,1.0743,334.0075,5.367,2.2376
jmBNe0m73olni9LTbcwN,10/2/2023,18:33:02,VB002,Countermovement Jump,,,612.498,0.2596,140.9208,-0.3286,2985.2217,-3700.7722,1216,198.5313,927.4335,151.4182,1219,199.0211,1055.6614,172.3535,1248,203.7558,0.423,44.7619,0.203,21.4815,0.319,33.7566,0.471,0.945,63.6284,141.9611,525.3135,205.5895,2.2311,-0.7039,-1.0264,1.2811,2.257,2.368,-593.1487,-9.5001,-762.32,-12.2096,1285.319,20.5862,41.7297,2605.4385,-3.1993,590,629,-2.1252,453.8621,473.5714,-1.4423,615,633,-1.2157,521.4138,534.2476,0.6601,1502.4631,1482.7586,-4.171,-2.4108,920,-5191.1278,2408,770.5848,393.1441,-16.8605,1001,1407,-5.7966,362.9587,407.6261,-10.9624,0.4984,0.2748,187.9655,3.0105,1.0191,337.348,5.4031,2.2737
va34W38dDPxBEmlj2LZH,9/18/2023,18:32:49,VB002,Countermovement Jump,,,604.266,0.2432,134.547,-0.3035,3725.7143,-4138.0621,1256,207.8555,1005.8686,166.4612,1267,209.6759,1062.3741,175.8123,1257,208.021,0.408,46.5222,0.175,19.9544,0.294,33.5234,0.456,0.877,69.9509,135.2973,488.649,205.2482,1.9342,-0.7413,-1.1385,1.2965,2.1843,2.315,-676.0543,-10.9755,-900.6312,-14.6214,1285.4193,20.8682,40.4444,2491.2499,-3.3938,612,655,-4.8589,478.4971,527.3714,-3.7391,605,652,-1.8371,521.4286,540.9456,2.7607,1914.2857,1811.4286,-9.2939,-3.6216,N/A,-4843.8539,2554,756.1168,422.6615,-5.325,1209,1345,-8.5586,345.702,410.4148,N/A,0.52,0.2773,175.6975,2.8524,1.1356,312.9515,5.0806,2.1965
4nA7pP1JkGk6lIysALiB,9/18/2023,18:32:43,VB002,Countermovement Jump,,,607.076,0.218,127.9923,-0.2579,3917.1598,-4928.469,1271,209.3642,950.6154,156.5892,1271,209.3642,1128.1911,185.8402,1320,217.4357,0.366,46.863,0.169,21.6389,0.246,31.4981,0.432,0.781,57.7247,128.8158,438.477,186.5405,2.2316,-0.6299,-0.9367,1.2669,2.0683,2.2101,-543.0288,-8.775,-688.1857,-11.1207,1309.603,21.1624,39.6076,2451.0496,-7.0024,591,680,-6.2968,445.3787,505.2367,-0.9091,654,666,-2.2934,551.1585,577.0325,-7.855,1804.7337,2112.426,-11.8425,-4.5082,N/A,-3986.1205,1780,725.7968,293.2088,5.3933,938,842,-1.6704,356.8367,368.9601,N/A,0.5531,0.2792,160.3205,2.5907,0.9328,278.1565,4.4948,2.0816
Gs5OZc7sb6oZyhs0AXFF,10/9/2023,18:29:24,VB003,Countermovement Jump,,,677.745,0.3318,176.2743,-0.2405,9049.1803,-7395.9163,1779,262.4881,1383.9672,204.2018,1779,262.4881,1488.8624,219.6788,1783,263.0783,0.306,47.3684,0.122,18.8854,0.218,33.7461,0.515,0.646,85.5991,177.6921,493.7245,263.2912,2.0759,-0.7926,-1.2503,1.5844,2.5515,2.647,-979.8054,-14.1822,-1329.3554,-19.2417,2109.2258,30.5299,51.401,3551.1466,7.8134,959,820,3.9066,719.0164,664.9508,7.5715,959,824,3.3878,769.6514,719.211,14.4928,5180.3279,3868.8525,7.4554,6.5802,N/A,-12417.1218,2858,912.4932,421.6925,10.2169,1575,1283,6.8714,487.597,424.8962,N/A,0.7972,0.5136,168.284,2.4358,1.239,325.4405,4.7106,2.572
i6Z9fTOKko6RQannHg1p,10/9/2023,18:29:18,VB003,Countermovement Jump,,,676.893,0.3412,178.5343,-0.2488,8146.1538,-6986.3185,1738,256.7614,1322.0385,195.3098,1738,256.7614,1477.3722,218.2579,1748,258.2387,0.285,44.6708,0.13,20.3762,0.223,34.953,0.519,0.638,83.3324,179.3629,501.6385,262.6953,2.1524,-0.7725,-1.2102,1.5841,2.5874,2.6835,-911.6258,-13.2119,-1242.7472,-18.0107,2111.9104,30.6073,52.3241,3610.3807,10.5869,961,777,11.5771,737.5462,584.4923,9.8398,960,788,4.791,774.0762,703.296,10.2927,4492.3077,3653.8462,20.757,9.1708,N/A,-12107.3154,2377,848.4706,351.1633,14.6824,1363,1014,0.7377,427.365,421.1057,N/A,0.8135,0.5348,171.3285,2.483,1.2077,330.31,4.7871,2.5995
ilTtYZuJuS97UULAvzTg,10/4/2023,18:30:55,VB003,Countermovement Jump,,,671.42,0.354,180.3864,-0.2642,8093.75,-6463.8144,1708,254.3862,1328.0625,197.7991,1708,254.3862,1461.524,217.6766,1718,255.8756,0.304,45.9909,0.128,19.3646,0.229,34.6445,0.537,0.661,83.5282,181.7628,504.988,265.2911,2.1761,-0.7951,-1.2313,1.6117,2.6356,2.7367,-939.1479,-13.7217,-1309.0459,-19.1262,2123.9342,31.0324,53.6885,3674.5667,10.6557,945,763,10.464,733.5156,594.5469,10.1281,946,772,6.5228,778.4279,683.0961,16.6023,4718.75,3375,18.9143,12.2525,1040,-7652.0159,2673,842.6404,398.1115,33.1837,1780,893,-0.9629,417.2635,425.3769,-1.9028,0.8124,0.5356,169.47,2.4761,1.2204,335.518,4.9022,2.6557
CRu4aThlTXSOt7gbIFeN,10/4/2023,18:30:47,VB003,Countermovement Jump,,,671.253,0.3542,180.3926,-0.2515,7893.9394,-6822.1005,1716,255.6413,1284.6136,191.3755,1714,255.3434,1482.8072,220.9014,1731,257.8759,0.291,45.0464,0.132,20.4334,0.223,34.5201,0.532,0.646,80.4376,181.8201,500.5525,262.2577,2.2604,-0.7794,-1.187,1.6286,2.6363,2.7507,-888.3474,-12.9827,-1209.7783,-17.6803,2163.3881,31.6167,55.5311,3799.734,9.6849,940,774,5.9734,680.6742,603.9394,9.301,946,785,3.1724,764.9238,717.8834,22.2649,4825.7576,3068.1818,11.1842,6.1881,1020,-9037.4489,2496,845.2176,371.8419,4.3269,1302,1194,-5.4083,399.7529,445.4647,-10.2558,0.8235,0.5484,169.043,2.4705,1.1756,331.5095,4.8448,2.6572
