TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
dr4p7093RFk9Vhthxk8q,10/2/2023,WBB007,Braking,14.3849,15.858
mFAJV0KdnV8nTG3cBoO7,9/25/2023,WBB007,Braking,2.7344,13.7861
lqdDiBl6IUTWb7AFn3B8,9/25/2023,WBB007,Braking,0.7918,-0.3925
5kMqdc0rrPeddGujJmrI,9/18/2023,WBB007,Braking,4.432,7.273
evQ4jKh7vGQGP8PePX9E,9/18/2023,WBB007,Braking,4.4444,7.1745
E0XOxXxF0mClyr7x14HJ,9/11/2023,WBB007,Braking,7.9702,11.3031
dqRZMwC9BOrKWapg0SjU,9/11/2023,WBB007,Braking,2.1983,9.9198
0n0Gj5skYpQ1ZwXDr6dz,10/16/2023,WBB008,Braking,-18.6957,-22.0336
oiJitUQD0ue1ClK1TxF4,10/16/2023,WBB008,Braking,-19.5414,-20.0166
UcV6WSgyDUqq50SX3uyr,10/9/2023,WBB008,Braking,-15.2126,-21.4857
yt45yXoaI82RZQDjgpV1,10/9/2023,WBB008,Braking,-18.2955,-24.5608
NkhxGoxhH0z7VwvLQNBg,10/2/2023,WBB008,Braking,-14.0463,-20.1542
TcqCxjRZLzt5NVjWmCjl,10/2/2023,WBB008,Braking,-14.3667,-15.4559
2D0CDEd06oenO8nRKKT2,9/25/2023,WBB008,Braking,-16.1785,-15.8872
0evT4cXXdJlQwopPSaLe,9/25/2023,WBB008,Braking,-18.5818,-28.4053
mS9hh7vwdQGCbDITLSfq,9/18/2023,WBB008,Braking,-14.6701,-15.9687
bmVQ98leANl3UnWzjUlq,9/18/2023,WBB008,Braking,-18.4914,-20.7659
ZZAsNAUdZkgqiZjO3xA8,9/11/2023,WBB008,Braking,-9.7744,-15.0905
k8bfpG0wPU6VhWmMnBAX,9/11/2023,WBB008,Braking,-8.2734,-14.0016
IcwdZWclhZzUuknh9Zky,10/9/2023,WBB009,Braking,-1.7952,3.0278
ey5kolEsiEn91Okm7n0w,10/9/2023,WBB009,Braking,-5.0403,-0.5152
9VCCoMyIdZB8PtptPKkT,10/2/2023,WBB009,Braking,6.9486,15.6371
PBc6W3e8zHelzUEJdRwV,10/2/2023,WBB009,Braking,0.158,11.8434
SxqcwyTZb8s93SgU95ud,9/25/2023,WBB009,Braking,-1.7488,3.1304
6vmsMTXS87w8hGK8iRVF,9/25/2023,WBB009,Braking,0.1492,4.8161
2HXrf8Gi5CWvHC5F0fts,9/18/2023,WBB009,Braking,2.9604,6.979
tnkJOh16XIQ20bb4NTfr,9/18/2023,WBB009,Braking,1.3545,6.9095
VswHiMOlVFOVLCXhNFgl,9/11/2023,WBB009,Braking,-1.9037,6.3441
mOlUQ9AruaJtpU6fdxmp,9/11/2023,WBB009,Braking,1.9743,11.3076
g0He3cvFB9PWt5Rk9ubW,10/16/2023,WBB010,Braking,2.6272,4.567
DHBt216ptZTcYfbq6CKd,10/16/2023,WBB010,Braking,-0.6274,2.5425
nc4eVGTqBiXZmmRTjmpR,10/9/2023,WBB010,Braking,2.2273,2.8254
NZLA2FemFCf7uY9n4boy,10/9/2023,WBB010,Braking,-3.125,-2.3861
UDyE0y7BjVdM6zYHoOBb,10/2/2023,WBB010,Braking,-0.1337,1.1325
1ZfSOOV4byGMmtDTbliW,10/2/2023,WBB010,Braking,0.5006,-4.0898
kOAeeTRMBHl49a3w1nO1,9/25/2023,WBB010,Braking,5.277,6.4977
2OPppOZa2LYDpCScKUWR,9/25/2023,WBB010,Braking,1.4475,-0.2713
7lDho5WRiFclGZ7JJaIJ,9/18/2023,WBB010,Braking,-3.2955,-3.3315
618rIGyEqhxBAmvSQqNr,9/18/2023,WBB010,Braking,-8.9151,-11.8888
UjitqdjJLTFEjYKpbLEL,9/11/2023,WBB010,Braking,-2.5451,-2.1397
xbSEZW3RxUHbJBGbizTs,9/11/2023,WBB010,Braking,-6.0768,-3.3649
ZviXzw1QgvZTCCWqu5IA,10/16/2023,WBB011,Braking,-2.3256,-6.2489
UfGeWmIEqlyQKSwc6psO,10/16/2023,WBB011,Braking,-1.6966,-5.9841
6eigJOQzrbck3XEIZzwn,10/9/2023,WBB011,Braking,-2.4956,-8.8272
MxGA6um2kVlPLmVyS2iK,10/9/2023,WBB011,Braking,-5.2787,-14.1926
gKadYBiPwV0Gv34AQOX0,10/2/2023,WBB011,Braking,-2.7714,-8.0142
Vb7dQwxTdPTVuybPHXJV,10/2/2023,WBB011,Braking,-3.2768,-7.0373
