TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
rUErGLXdUEjdfqt6hP0H,10/17/2023,MFB006,Braking,2.5761,6.9529
n3Rs6svVkCtRLfZTzCOX,10/10/2023,MFB006,Braking,1.9821,3.2084
bG5AMMm6IC75GyBtNPyE,10/10/2023,MFB006,Braking,5.5062,10.8328
WjrCv3RaChumYqWjnufy,10/3/2023,MFB006,Braking,5.0816,7.5171
77iZp61FgfOlOUh03NYq,10/3/2023,MFB006,Braking,5.5647,7.3184
6eIFPrcZY7Fmb16PkeGT,9/26/2023,MFB006,Braking,3.8134,6.2184
JMcQZbM75yqgJOmIyrf6,9/26/2023,MFB006,Braking,5.2768,7.387
9fbuBNbMgfr27psRA3ez,9/19/2023,MFB006,Braking,0.6505,5.1994
OAlX1aToHDnTGp1mXsMi,9/19/2023,MFB006,Braking,4.5802,6.313
yvYHBbySNljlAKQ1MBbh,9/12/2023,MFB006,Braking,-2.059,1.145
Ujc0I3IGp2MYIWBbCXxJ,9/12/2023,MFB006,Braking,8.5476,9.2813
kilhcxqH0Bi4cGzgOszR,8/29/2023,MFB006,Braking,0.4219,2.227
I3L7a0QudbtWpejYLs3W,8/29/2023,MFB006,Braking,3.7615,5.0542
S8BqzdUvz49ebRe7V6Qg,8/29/2023,MFB006,Braking,9.072,6.4996
eKKAdOFUu3xepS2v2BI8,10/17/2023,MFB007,Braking,6.8226,10.8901
4nq83KBepHRu14AXK6TH,10/17/2023,MFB007,Braking,1.7461,7.8209
hId53NfPF57Xkdmh49rR,10/10/2023,MFB007,Braking,11.6941,16.137
0GNW1sLfScceZstohphJ,10/10/2023,MFB007,Braking,6.8533,15.7518
fgyKsS3JHuDgIwa8gPYs,10/3/2023,MFB007,Braking,18.6638,13.4255
B6HMaoS6DBTiZ055xkBm,10/3/2023,MFB007,Braking,9.465,18.9329
wssmUQlQeYOU59ktks8u,9/26/2023,MFB007,Braking,11.499,10.058
2Q1XRvsr7vHPk0JtysNg,9/26/2023,MFB007,Braking,2.6236,16.405
4SsuZBCGEwaPM5XoN0yB,9/19/2023,MFB007,Braking,11.2848,17.9805
sEo6r68kSANxqJSC8mZn,9/19/2023,MFB007,Braking,15.3623,18.0011
o586CzwL6qLD4JUA9htW,9/12/2023,MFB007,Braking,6.4275,16.2352
AwVm327MQnmMXCdJvA1w,9/12/2023,MFB007,Braking,6.823,11.8768
1fnvdDgdItWsuAJF7P7U,8/29/2023,MFB007,Braking,8.3415,16.9188
84f3rOT2j2j6u6uL7fDs,8/29/2023,MFB007,Braking,4.2198,14.6506
4oVY9YIk7DJwwsJ4LH2p,8/29/2023,MFB007,Braking,16.0981,14.8624
