TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
yFpB4EmcO9rk3DOZC6Ls,10/2/2023,VB009,Braking,-3.5514,-13.0339
fojrWPdZ3TS6jmbuMqaq,9/18/2023,VB009,Braking,-3.8632,-13.6527
LbIfUwhEuiVCow37JLyB,9/18/2023,VB009,Braking,-9.8724,-13.2359
HpO3RA00ZYJd0WRNopVD,10/9/2023,VB010,Braking,3.1359,2.0046
oXx39a1H84kahtlXZEOS,10/9/2023,VB010,Braking,0.5236,3.508
0lQVaj6zU4MhkJDqWSAa,10/4/2023,VB010,Braking,5.314,4.8862
xjykqfO2czgfITAObTRK,10/4/2023,VB010,Braking,-0.431,6.2893
7LFEpWWgxpry9T5YDNaI,10/2/2023,VB010,Braking,5.0177,6.7589
AfH96hbLhour2JkqWYVF,10/2/2023,VB010,Braking,1.7291,1.7459
TmWhnHka5TqvzyStlQtk,9/18/2023,VB010,Braking,1.2065,1.472
zZANQFjkIhqEVZjjvhBB,9/18/2023,VB010,Braking,-0.6632,1.4508
7VteX3KKOFlGIGODTbJg,10/9/2023,VB011,Braking,-3.6433,-11.3171
qiL5l8L9kHOymJzRKG1a,10/9/2023,VB011,Braking,-6.9742,-13.6999
xCQ6nypFgVydrFrpT89j,10/4/2023,VB011,Braking,-4.6061,-13.7696
E1ZKFG1ORp8hy2x3Smju,10/4/2023,VB011,Braking,-4.1825,-13.9139
8FyYz7WFnaZNvkQP9J9O,10/2/2023,VB011,Braking,-2.6007,-5.9766
Oe0ZBzJHZAnM7fhmFaUy,10/2/2023,VB011,Braking,-4.1152,-6.0778
40zUD6m5Yp35L9300zmJ,9/18/2023,VB011,Braking,1.5889,-3.0153
KOlBZXnZeKunt4NDtYH8,9/18/2023,VB011,Braking,-7.4568,-13.4643
4kKEsQ142vobLukjp0o6,10/9/2023,VB012,Braking,-16.6437,-15.5666
yAGEtf6rZaz1SiCiFhKi,10/9/2023,VB012,Braking,-18.8047,-19.7847
CmXVz92T7oDOtrx0x2EZ,10/4/2023,VB012,Braking,-22.1363,-24.7571
r4xQo2bzWjWAMJbAoDxC,10/4/2023,VB012,Braking,-14.3802,-13.4346
iNhpOchKZC2Ht72hL51K,10/2/2023,VB012,Braking,-16.5179,-19.5534
cktJPPdRpkowFK6CFGNf,10/2/2023,VB012,Braking,-16.6129,-17.4979
gpxJgJWiccnrWs4oFN0K,9/18/2023,VB012,Braking,-13.2956,-19.455
9IwkcQbzTSjAmiLRHxHR,9/18/2023,VB012,Braking,-20.7813,-15.1397
kdVjOjYJ7qlwjByMaYWs,10/9/2023,VB013,Braking,6.2774,1.5874
ap759DYtqY6FKnBpCnrO,10/9/2023,VB013,Braking,7.0393,3.2182
ubJp4Lo5rrGlGKS5mEak,10/4/2023,VB013,Braking,7.1322,5.601
ncJhEXEPPrKccbI3Rw2F,10/4/2023,VB013,Braking,13.3106,12.5589
CurcqC7FyZDaRGcbH88v,10/2/2023,VB013,Braking,8.9307,8.5488
RkdAFRxNOYkY0nnLRlyG,10/2/2023,VB013,Braking,3.8384,6.099
wccvenT3QEUqTwXl5kkv,9/18/2023,VB013,Braking,8.79,9.3322
px6PZopft9YQAssv48l3,9/18/2023,VB013,Braking,1.3946,0.3314
QXkk74wqF4Thv6SiqsR3,10/9/2023,VB015,Braking,-5.7923,-3.6621
JhlMB7G1lT19jXw9Megl,10/9/2023,VB015,Braking,-5.928,-1.6934
KWchPlPfm78aEGlNEECS,10/4/2023,VB015,Braking,-2.8177,-0.338
JWqvZgT1RhOsOE5LhRnR,10/4/2023,VB015,Braking,-5.6604,-2.7817
OGUP3hq9CoDeMcxSHtBM,10/2/2023,VB015,Braking,-1.9141,-1.8381
WVgMbVNKpn3wuOgcmlsD,10/2/2023,VB015,Braking,-4.7516,-4.3169
WM5kruyLDgVlsWbewaBH,9/18/2023,VB015,Braking,-4.7293,-6.0575
eAoDlBewr7eOYh3W8WEq,9/18/2023,VB015,Braking,-9.6512,-7.3353
WkieBXaNQSENiaUUvu03,10/9/2023,VB016,Braking,-10.1974,-14.3774
gFpUJ2ucf3oS7BFFh8I2,10/9/2023,VB016,Braking,-17.2809,-16.7242
7oHYuzNFmYbF5x8kDyey,10/4/2023,VB016,Braking,-14.8243,-15.1124
1zTN2eQcVmCjXWlB3aSW,10/4/2023,VB016,Braking,-6.1329,-8.2006
tN2iwy7WmVR9buBmNFPM,10/2/2023,VB016,Braking,-12.1512,-13.1468
hoi49MMcHfqtd9i9yCYr,10/2/2023,VB016,Braking,-14.0203,-10.8011
GdXOR44bboxH3WwXgudg,9/18/2023,VB016,Braking,-14.5675,-13.8409
D97bFlncySUxDo1dg5wN,9/18/2023,VB016,Braking,-14.2857,-11.0992
pKijgdOKteUlF94Bh54n,10/9/2023,VB017,Braking,3.733,3.164
0pWxufwUARJBEKKAfwen,10/9/2023,VB017,Braking,-1.0393,-0.2054
jgdNosBz7SkZiOpGfkRH,10/4/2023,VB017,Braking,0.2334,-1.913
S8Q68vH6gs8gMp75npWg,10/4/2023,VB017,Braking,2.9149,1.1337
M9lt8uFYGNDhdMfj7NsT,10/2/2023,VB017,Braking,0.1739,-2.4324
Vidq3nYJnLV7xs6BCdRS,10/2/2023,VB017,Braking,-0.641,-0.4833
